,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,User Name,User ID,Tweet,Image URL,Location,Cleaned_Tweet,scores,label
12599,13919,26,26,2022-12-03 10:32:21+00:00,taztapout,1368743590566977536,"#STUDENTLOAN
 BAILOUT REJECTED AGAIN. 5th Circuit rejects BIDEN’s plea. By unilateral executive order 
#Biden
 decided to payoff 
#studentloandebt
 Estimates could cost tax payers as much as $1 Trillion. 
#Congress
 never considered the massive 
#tax
 spend and no 
#legislation https://t.co/cylnYEb9Nf",https://pbs.twimg.com/profile_images/1528343209625145344/USoDXpJ4_normal.jpg,United States,bailout rejected th circuit rejects biden plea unilateral executive order decided payoff estimates could cost tax payers much trillion never considered massive spend,"{'neg': 0.283, 'neu': 0.717, 'pos': 0.0, 'compound': -0.7845}",Negative
12600,13920,27,27,2022-12-03 02:54:29+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12603,13924,31,31,2022-12-02 16:29:54+00:00,lillymckim,526960836,"#Biden is a habitual liar
#StudentLoanDebt
#Lobster regulations 
#DeRailed #TrainUnions",https://pbs.twimg.com/profile_images/1206777815204605952/3FEmg6RP_normal.jpg,United States,habitual liar regulations,"{'neg': 0.623, 'neu': 0.377, 'pos': 0.0, 'compound': -0.5106}",Negative
12605,13926,33,33,2022-12-02 14:46:09+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12610,13932,39,39,2022-12-02 04:45:32+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12615,13939,46,46,2022-12-01 14:12:25+00:00,DeniiLove_,33774148,Joe Biden trying - but y’all elected officials stopping him … 🙄🙄🙄 #studentloandebt,https://pbs.twimg.com/profile_images/1577563914010853378/bmy-JyeY_normal.jpg,United States,joe biden trying elected officials stopping,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.1531}",Negative
12616,13940,47,47,2022-12-01 13:17:19+00:00,FocusTheVote,795681846289952772,"#STUDENTLOAN BAILOUT REJECTED AGAIN. 5th Circuit rejects BIDEN’s plea. By unilateral executive order #Biden decided to payoff #studentloandebt costing as much as $1 Trillion. #Congress never approved the massive #tax spend.
https://t.co/iNLgQ99smj",https://pbs.twimg.com/profile_images/1244406832090808322/lERDb1lr_normal.jpg,United States,bailout rejected th circuit rejects biden plea unilateral executive order decided payoff costing much trillion never approved massive spend,"{'neg': 0.406, 'neu': 0.594, 'pos': 0.0, 'compound': -0.8493}",Negative
12618,13942,49,49,2022-12-01 12:39:07+00:00,RelayHeroes,1032726064869584896,Our final myth about student loans! Your student loan debt does not have to last forever! Strategy is the key!!! #studentloandebt #loans #studentloans #myths #relayhtlt💙💚 #lottiafredo🎤 https://t.co/iWmyLJ0qhN,https://pbs.twimg.com/profile_images/1430579594554392585/aHh6UkzP_normal.jpg,United States,final myth student loans student loan debt last forever strategy key,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.3612}",Negative
12619,13943,50,50,2022-12-01 12:21:42+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12620,13944,51,51,2022-12-01 07:19:38+00:00,Ravener182,1576698850550509570,"This is disappointing news! 

Cancel #StudentLoanDebt 

U.S. appeals court rejects Biden's bid to revive student debt plan - Reuters cc ⁦@SecCardona⁩ ⁦@usedgov⁩  https://t.co/0TfpGxaAP5",https://pbs.twimg.com/profile_images/1598370615580274689/dRyMTxIw_normal.jpg,United States,disappointing news cancel u appeals court rejects bidens bid revive student debt plan reuters cc,"{'neg': 0.489, 'neu': 0.404, 'pos': 0.108, 'compound': -0.8176}",Negative
12622,13946,53,53,2022-12-01 01:41:39+00:00,katsmithart,473633856,Nothing like the sobering realization that I'm officially worth more dead than alive. #studentloandebt #medicaldebt #lowwages #noassets #LifeInsurance,https://pbs.twimg.com/profile_images/598191713996447746/ojxUlekf_normal.jpg,United States,nothing like sobering realization im officially worth dead alive,"{'neg': 0.388, 'neu': 0.242, 'pos': 0.369, 'compound': -0.3222}",Negative
12623,13947,54,54,2022-11-30 16:54:23+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12624,13948,55,55,2022-11-30 14:14:01+00:00,CoDeptTreasury,1088116348603924483,"Student loans continue to make up nearly 10% of all US household debt.
#studentloandebt 

https://t.co/x8GYImrpOT https://t.co/vcHoDRWqbk",https://pbs.twimg.com/profile_images/1438541141473824779/bmguiZVp_normal.jpg,United States,student loans continue make nearly us household debt,"{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.3612}",Negative
12626,13950,57,57,2022-11-30 00:17:08+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12628,13952,59,59,2022-11-29 20:40:00+00:00,EdTrust,112471133,"43 million Americans collectively owe $1.6 trillion in federal #StudentLoanDebt, but this burden is not borne equally by all. Black students are more likely to borrow &amp; borrow more. Our brief highlights the disparities in #IDR plans for #BlackBorrowers: https://t.co/g3OZhnLhsD",https://pbs.twimg.com/profile_images/1202310670110339072/IJn-D31P_normal.jpg,United States,million americans collectively owe trillion federal burden borne equally black students likely borrow borrow brief highlights disparities plans,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.4404}",Negative
12632,13956,63,63,2022-11-29 15:04:11+00:00,NJCPA,20534044,"Last 2 days to enter our Student Loan Debt Lottery for a chance to receive $1,200 toward your student loan debt! https://t.co/hdJwxMXeq3
#studentloandebt #studentloans #cpa #njcpa https://t.co/BjuF559aZW",https://pbs.twimg.com/profile_images/610477371179732992/i9pYD6VE_normal.jpg,United States,last days enter student loan debt lottery chance receive toward student loan debt,"{'neg': 0.294, 'neu': 0.588, 'pos': 0.118, 'compound': -0.4588}",Negative
12633,13957,64,64,2022-11-29 06:16:25+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12634,13958,65,65,2022-11-29 02:26:35+00:00,CIearValue_Tax,99132738,"Recession 2022 Warning - More Problems for President Biden as US Economy Shrinks 1.4% | News Report
https://t.co/P9bmGCBlz1…
#clearvaluetax #economy #recession #headlines #dailynews #studentloandebt #ukraine",https://pbs.twimg.com/profile_images/1597362269008035845/gQBEExs2_normal.jpg,United States,recession warning problems president biden us economy shrinks news report,"{'neg': 0.53, 'neu': 0.47, 'pos': 0.0, 'compound': -0.7845}",Negative
12635,13959,66,66,2022-11-28 23:05:21+00:00,chipperapp,814703382476754944,"Real Talk: Who doesn't like a good money hack?! Swipe if you're ready to crush your financial goals! 💰

#CyberMonday2022 #Moneyhacks #studentloandebt #studentloans
#studentloanforgiveness https://t.co/k3kqjIWMrj",https://pbs.twimg.com/profile_images/1570463731632447489/g6HULynu_normal.jpg,United States,real talk doesnt like good money hack swipe youre ready crush financial goals,"{'neg': 0.347, 'neu': 0.511, 'pos': 0.142, 'compound': -0.3851}",Negative
12636,13960,67,67,2022-11-28 22:05:57+00:00,moneytalksdocu,1376587864549494796,"How has student loan debt affected your budget? Share your thoughts here or in our documentary's official student loan survey at https://t.co/kcDi3K25Oj

#studentloans #studentloandebt #studentdebtcrisis #studentloanforgiveness #college #collegedebt https://t.co/nIpJ5026Gn",https://pbs.twimg.com/profile_images/1377750446287151104/j2vTAGOq_normal.jpg,United States,student loan debt affected budget share thoughts documentarys official student loan survey,"{'neg': 0.268, 'neu': 0.588, 'pos': 0.144, 'compound': -0.2263}",Negative
12638,13962,69,69,2022-11-28 14:38:00+00:00,Scout_boss,1235922754915815424,"@Latingrl20211 @i_D @taylorswift13 HOAX!
Just a claim, everyone can, if only make a claim🤣
those who buy it are also mostly ticket scalpers + giveaway😂 I mean they afford for #TheErasTour 🎫 but they don’t want to pay off #studentloandebt 🤣
Don’t spread hoax, this is #Hot100 last week😏 https://t.co/zZjMRdnyqM",https://pbs.twimg.com/profile_images/1235922891515953152/IJ_FzJlY_normal.jpg,United States,hoax claim everyone make claim buy also mostly ticket scalpers giveaway mean afford want pay spread hoax last week,"{'neg': 0.256, 'neu': 0.685, 'pos': 0.059, 'compound': -0.5106}",Negative
12640,13964,71,71,2022-11-28 10:24:31+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12641,13965,72,72,2022-11-28 07:02:01+00:00,JustNewsViral,1519241587401842689,The American dream is dead. #Joblessness #WageStagnation #PersistentPoverty #UnaffordableHousing #StudentLoanDebt https://t.co/BJF0tEfZxt,https://pbs.twimg.com/profile_images/1520079964699246594/dUvjkp9J_normal.jpg,United States,american dream dead,"{'neg': 0.589, 'neu': 0.137, 'pos': 0.274, 'compound': -0.5106}",Negative
12643,13967,74,74,2022-11-27 20:39:47+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12645,13969,76,76,2022-11-27 06:34:32+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12649,13973,80,80,2022-11-26 15:24:32+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/20pRPZuE6e,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12650,13974,81,81,2022-11-26 07:56:56+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12651,13976,83,83,2022-11-25 16:30:06+00:00,nojzad,311114495,"How To Dispute Student Loans LEGALLY !!! 
Link: https://t.co/pndR8jGiG8

Customer Service: (904) 752-0766
#PaidCollections # CreditRepair #FixYourCredit #StudentLoans #StudentLoanDebt #Navient #Greatlakes",https://pbs.twimg.com/profile_images/1564165172222107648/G9cxyHl-_normal.jpg,United States,dispute student loans legally link customer service creditrepair,"{'neg': 0.267, 'neu': 0.594, 'pos': 0.139, 'compound': -0.3182}",Negative
12653,13978,85,85,2022-11-25 12:59:45+00:00,JDrum84,1138209416,"Debt financing education isn’t working. #StudentLoanDebt 

https://t.co/3Pal2Dc4NZ",https://pbs.twimg.com/profile_images/1139009820651085824/c-xKd99g_normal.jpg,United States,debt financing education working,"{'neg': 0.455, 'neu': 0.545, 'pos': 0.0, 'compound': -0.3612}",Negative
12654,13979,86,86,2022-11-25 05:34:46+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12656,13981,88,88,2022-11-24 13:58:03+00:00,AmnestyDebts,1168641446695424000,"#StudentLoanDebt The 8th Circuit federal court of appeals in St. Louis, Missouri, blocked the Biden administration’s student loan forgiveness program after six Republican led states argued in a lawsuit against the plan. As a response, the Biden… https://t.co/A1IxnR9sh6 https://t.co/PXM0CzIjzU",https://pbs.twimg.com/profile_images/1555233279980314624/tM_Hy3uS_normal.jpg,United States,th circuit federal court appeals st louis missouri blocked biden administration student loan forgiveness program six republican led states argued lawsuit plan response biden,"{'neg': 0.227, 'neu': 0.699, 'pos': 0.073, 'compound': -0.5267}",Negative
12657,13982,89,89,2022-11-24 09:16:25+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIuRt1Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12658,13983,90,90,2022-11-24 02:15:20+00:00,5731965i,819019776844513280,"VOTE OUT EVERY REPUBLICAN. FIGHT THE LIES. #Gen #GenZWave #collegetwt #Democrats #studentloans #StudentLoanDebt
https://t.co/T7cJ4G7f2r",https://pbs.twimg.com/profile_images/879123411955589120/cCah7nC1_normal.jpg,United States,vote every republican fight lies,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.6597}",Negative
12662,13987,94,94,2022-11-23 21:54:23+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12664,13990,97,97,2022-11-23 17:32:13+00:00,NACBAorg,380532332,"""Biden-Harris Administration Continues Fight for Student Debt Relief for Millions of Borrowers, Extends Student Loan Repayment Pause"" #ED #studentdebtbomb #studentloandebt https://t.co/6TCLX6yl6O",https://pbs.twimg.com/profile_images/1408495435279388672/EA8ihn0y_normal.jpg,United States,biden harris administration continues fight student debt relief millions borrowers extends student loan repayment pause,"{'neg': 0.246, 'neu': 0.531, 'pos': 0.222, 'compound': -0.128}",Negative
12665,13991,98,98,2022-11-23 16:16:41+00:00,RebeccaAlwin,1285048051,Attention #GenZ &amp; all others burdened with the high #interest rates on #StudentLoanDebt https://t.co/1Ob3xvvjxi,https://pbs.twimg.com/profile_images/797146107490934784/efE3vVsh_normal.jpg,United States,attention others burdened high rates,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",Negative
12670,13996,103,103,2022-11-23 03:10:35+00:00,AmPowerBlog,47025294,Wrong. Wrong comments. Wrong argument. And just plain wrong all around. Let student debt relief die a gruesome death when it finally makes it to SCOTUS. #LetsGoBrandon #StudentLoans #StudentLoanDebt #StudentLoanForgiveness #Die #DebtRelief 😖 https://t.co/nJh4r2jCOn,https://pbs.twimg.com/profile_images/1339110909390688256/e3jTVTLI_normal.jpg,United States,wrong wrong comments wrong argument plain wrong around let student debt relief die gruesome death finally makes scotus,"{'neg': 0.676, 'neu': 0.241, 'pos': 0.083, 'compound': -0.9686}",Negative
12676,14003,110,110,2022-11-22 20:31:13+00:00,GROUNDUPWeb,1208194999487209472,"#BUSINESS #SCHOOLSfails
#StudentLoanDebt
#StudentLoanForgiveness

There're the issues of NOT-race, firstable, but of governmental schools financing loans to humans who they KNOW are needy-financially and most likely unable to repay their Gov-Risky-Debt if loan's approved. https://t.co/8ZzebB4Fbm",https://pbs.twimg.com/profile_images/1392767840973901826/-x23jGn7_normal.jpg,United States,therere issues race firstable governmental schools financing loans humans know needy financially likely unable repay gov risky debt loans approved,"{'neg': 0.263, 'neu': 0.627, 'pos': 0.11, 'compound': -0.4404}",Negative
12678,14005,112,112,2022-11-22 19:51:27+00:00,thekhemistlives,1199611622,"The Democrats Betray Their Base In Record Time
https://t.co/yD9VCzdoAW
#garyin #garyindiana #abortion #abortionlaws #studentdebt #tuesdayvibe #politics #DemocratsAreCorrupt #DemocratsAreTheProblem #Democrats #Biden #Pelosi #studentloanforgiveness #studentloans #studentloandebt",https://pbs.twimg.com/profile_images/479887896598433793/v48vwT43_normal.jpeg,United States,democrats betray base record time,"{'neg': 0.512, 'neu': 0.488, 'pos': 0.0, 'compound': -0.6369}",Negative
12683,14010,117,117,2022-11-22 17:32:01+00:00,handsonreinvest,2839322672,Pay Off #StudentLoanDebt by #Investing in #RealEstate! #studentloans #realestate https://t.co/NTmLIv8w3Z,https://pbs.twimg.com/profile_images/526934965917720576/lMBfJESI_normal.png,United States,pay,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.1027}",Negative
12686,14013,120,120,2022-11-22 14:41:05+00:00,PMennitti,2306369811,@FAFSA  Where did the money go now that this has been stopped?  #studentloanforgiveness #studentloandebt https://t.co/9H1FTmHQA4,https://pbs.twimg.com/profile_images/427555838623240192/kUgLhgu3_normal.jpeg,United States,money go stopped,"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.2263}",Negative
12688,14015,122,122,2022-11-22 14:25:10+00:00,thekhemistlives,1199611622,"The Democrats Betray Their Base In Record Time
https://t.co/yD9VCzuZZw
#garyin #garyindiana #abortion #abortionlaws #studentdebt #tuesdayvibe #politics #DemocratsAreCorrupt #DemocratsAreTheProblem #Democrats #Biden #Pelosi #studentloanforgiveness #studentloans #studentloandebt",https://pbs.twimg.com/profile_images/479887896598433793/v48vwT43_normal.jpeg,United States,democrats betray base record time,"{'neg': 0.512, 'neu': 0.488, 'pos': 0.0, 'compound': -0.6369}",Negative
