,Date,User Name,User ID,Tweet,User Location,Image URL
0,2022-12-06 22:44:12+00:00,N_a_n_c_yBrown,956109367,"@POTUS Return on that investment and lift duplicate #WorkmanComp Insurance offsets of my #disability Benefits &amp; put an #effectivedate on #TPDform &amp; refund disabled #studentloan holder's payments made with their offset disability pay, already legal &amp; conditions met.",,https://pbs.twimg.com/profile_images/1598096826611154945/qtFsuYvp_normal.jpg
1,2022-12-06 21:41:25+00:00,Gregory_essays,1520097689895120899,"#Plagiarism-free papers
#Essay writing from scratch is the key principle of Top-Notch Professionals. Additionally, we check each custom paper for plagiarism to make sure it’s original and has #references that are properly #cited.

#Nursing 
#picot
#soapnote
#StudentLoan",United States,https://pbs.twimg.com/profile_images/1591759385558138880/3bKpwm4Y_normal.jpg
2,2022-12-06 19:07:09+00:00,NSLSCneedshelp,1513121453058580484,"@JustinTrudeau needs to follow @JoeBiden when it comes to student loan, Canadians should not be losing lives over success. Doesn’t help the economy other than damage. #canada #studentloan #Fixit #support https://t.co/VzMBWWIG1G",,https://pbs.twimg.com/profile_images/1513124247522385920/9ZoT-C86_normal.jpg
3,2022-12-06 18:31:55+00:00,SeanJohn1998,3367975324,Clock is ticking to pass #HR9110 and introduce consumer protections to ALL student loans before the @GOP takes over the House and no meaningful legislation gets introduced for 2 years.  Tick tock…#StudentLoans2022 #studentdebtcrisis #studentloan https://t.co/AqQBXuIpE0,"Perkasie, PA",https://pbs.twimg.com/profile_images/1535101603027554308/kCt1Agop_normal.jpg
4,2022-12-06 17:50:19+00:00,USSLForgiveness,553757561,"Federal #studentloan debt still burdensome for borrowers despite relief, survey says | Fox Business https://t.co/cXRtzaL0YT",United States,https://pbs.twimg.com/profile_images/1195086512813170688/V9owPQ_3_normal.jpg
5,2022-12-06 17:44:11+00:00,CJsSayingIt,1358444358379294720,@RepChrisStewart @HouseGOP Right. Just like the GOP will lower #gas prices (voted against that!) Or help with baby #formula shortages (voted against that help!) Or the #StudentLoan crisis (no plan there!) Or the #healthcare crisis (never had any plans or ideas there and voted against lowering #insulin!),United States,https://pbs.twimg.com/profile_images/1595257874988429315/Tf-MMOmZ_normal.jpg
6,2022-12-06 17:02:06+00:00,CollegeInvestin,176698373,"Welcome to December folks! On today's AMA, we'll be answering any and every question related to the pause extension on #studentloan repayments. 👩‍🎓

So, head on over to our Instagram stories right now with all your questions! 

https://t.co/IWv0pZ5OHE https://t.co/OuJygrhBTN",San Diego,https://pbs.twimg.com/profile_images/1385317819789680644/THns6QTt_normal.png
7,2022-12-06 16:03:31+00:00,JBurlowski,290730884,"6 reasons to NEVER #cosign a #studentloan. (Plus, 4 things that'll save you if you've already done it.) https://t.co/NP8fzzPRyp","Minneapolis, Minnesota ",https://pbs.twimg.com/profile_images/1334875801/JeanieB-048_web_normal.jpg
8,2022-12-06 16:01:28+00:00,lssfinancial,1411108674,"Questions to ask, now that payments on most federal #studentloans are paused again:
• Is #PSLF right for me?
• Will future payments be affordable?
• How can I get delinquent loans back into good standing?

Call our #studentloan counselors to explore your options: 888.577.2227 https://t.co/JxXaiRgngw",Minnesota,https://pbs.twimg.com/profile_images/959522098187325440/HR5BYE4t_normal.jpg
9,2022-12-06 15:51:12+00:00,DebtCrisisOrg,720504404,"The vast majority of #studentloan borrowers say they have not financially recovered from the #COVID19 pandemic.

https://t.co/bKA6WkrM4V",,https://pbs.twimg.com/profile_images/1429235084058533889/nQ9hbGZi_normal.jpg
10,2022-12-06 15:21:48+00:00,JobCreatorsUSA,815270461,"#Biden wanted the courts to overturn the ruling that overturned his #StudentLoan forgiveness scheme.

He was #denied.

Read more in @DailyCaller 
https://t.co/K7ESDiiPxo",,https://pbs.twimg.com/profile_images/926451454340141061/p6aSJYo8_normal.jpg
